dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:100093711	no KO assigned | (RefSeq) tm2d3, fc17h12, wu:fc17h12, zgc:165591; TM2 domain containing 3
dre:403005	K04521 beta-site APP-cleaving enzyme 1 (memapsin 2) [EC:3.4.23.46] | (RefSeq) bace1, zgc:77409; beta-site APP-cleaving enzyme 1
dre:793609	K01590 histidine decarboxylase [EC:4.1.1.22] | (RefSeq) hdc; histidine decarboxylase
dre:322146	K10485 BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1) | (RefSeq) gmcl1, gcl, wu:fb51d08, zgc:77018; germ cell-less, spermatogenesis associated 1
dre:100126009	K13295 aprataxin and PNK-like factor [EC:4.2.99.18] | (RefSeq) zgc:165656
dre:192333	K02210 DNA replication licensing factor MCM7 [EC:3.6.4.12] | (RefSeq) mcm7, chunp6911, nyz175, sr:nyz175; minichromosome maintenance complex component 7
dre:325542	no KO assigned | (RefSeq) mpp1, cb997, wu:fc85f03, zgc:77039; membrane protein, palmitoylated 1
dre:405767	K08858 serine/threonine-protein kinase SBK [EC:2.7.11.1] | (RefSeq) bsk146, sbk1; brain specific kinase 146
dre:561943	K01931 protein neuralized [EC:2.3.2.27] | (RefSeq) neurl1aa, neurla, si:dkey-82d4.1, si:dkey-82d4.3, zgc:153971; neuralized E3 ubiquitin protein ligase 1Aa
dre:100006791	no KO assigned | (RefSeq) LAMP-5, lamp5; zgc:165600
dre:403131	K10160 toll-like receptor 4 | (RefSeq) tlr4ba, TIR4.1, tlr4a; toll-like receptor 4b, duplicate a
dre:100148706	no KO assigned | (RefSeq) or125-4; odorant receptor, family E, subfamily 125, member 4
dre:447917	no KO assigned | (RefSeq) rs1b, zgc:103748; retinoschisin 1b
dre:393968	K12884 heterogeneous nuclear ribonucleoprotein C1/C2 | (RefSeq) Hnrpc; zgc:55733
dre:768285	K09454 GA-binding protein transcription factor, beta | (RefSeq) gabpb1, zgc:154083; GA binding protein transcription factor, beta subunit 1
dre:100137609	no KO assigned | (RefSeq) zgc:175177
dre:436982	no KO assigned | (RefSeq) ophn1, zgc:92603; oligophrenin 1
dre:406559	K06087 claudin | (RefSeq) cldn5a, cldn5, zgc:85723; claudin 5a
dre:799912	no KO assigned | (RefSeq) or130-1; odorant receptor, family H, subfamily 130, member 1
dre:654829	no KO assigned | (RefSeq) lgi1b; leucine-rich, glioma inactivated 1b
dre:406556	no KO assigned | (RefSeq) jmy, zgc:77377; junction mediating and regulatory protein, p53 cofactor
dre:30602	K09268 transcription factor SOX4/11/12 (SOX group C) | (RefSeq) sox11a, cb237, id:ibd2104, wu:fb16g02, zgc:136533; SRY (sex determining region Y)-box 11a
dre:619270	no KO assigned | (RefSeq) fam210b, zgc:112435; family with sequence similarity 210, member B
dre:404607	no KO assigned | (RefSeq) zgc:77197
dre:393563	no KO assigned | (RefSeq) ghitm, zgc:66108, zgc:77363; growth hormone inducible transmembrane protein
dre:394188	K01886 glutaminyl-tRNA synthetase [EC:6.1.1.18] | (RefSeq) qars, zgc:56395; glutaminyl-tRNA synthetase
dre:405847	no KO assigned | (RefSeq) sapcd2, zgc:77001; suppressor APC domain containing 2
dre:403007	K10516 zinc finger and BTB domain-containing protein 45 | (RefSeq) zgc:76872
dre:386769	no KO assigned | (RefSeq) ptprma, cb984, ptprm, zgc:110218; protein tyrosine phosphatase, receptor type, M, a
dre:768162	no KO assigned | (RefSeq) zgc:153522
dre:563172	K03265 peptide chain release factor subunit 1 | (RefSeq) etf1a, zgc:171591; eukaryotic translation termination factor 1a
dre:100141328	no KO assigned | (RefSeq) zgc:174653
dre:566728	K09085 class B basic helix-loop-helix protein 1/6/7 | (RefSeq) olig3; oligodendrocyte transcription factor 3
dre:100170792	no KO assigned | (RefSeq) zgc:194215
dre:100884149	no KO assigned | (RefSeq) waif2, 5T4; Wnt-activated inhibitory factor 2
dre:436966	K08447 receptor activity modifying protein 1 | (RefSeq) zgc:91818
dre:492811	K04536 guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | (RefSeq) gnb4b, zgc:101614; guanine nucleotide binding protein (G protein), beta polypeptide 4b
dre:100004656	no KO assigned | (RefSeq) m1ap, zgc:162140; meiosis 1 associated protein
dre:780842	no KO assigned | (RefSeq) echdc3, zgc:158321; enoyl CoA hydratase domain containing 3
dre:100151554	no KO assigned | (RefSeq) or124-2; odorant receptor, family E, subfamily 124, member 2
dre:373865	no KO assigned | (RefSeq) kctd12.1, lov; potassium channel tetramerisation domain containing 12.1
dre:553960	K05491 interleukin 17C | (RefSeq) il17c, il17-3; interleukin 17c
dre:100124596	K09216 ovo | (RefSeq) zgc:171929
dre:393230	K15424 serine/threonine-protein phosphatase 4 regulatory subunit 1 | (RefSeq) ppp4r1, zgc:55603; protein phosphatase 4, regulatory subunit 1
dre:322863	K09525 DnaJ homolog subfamily C member 5 | (RefSeq) dnajc5ga, dnajc5g, fb75d01, wu:fb75d01, zgc:56703; DnaJ (Hsp40) homolog, subfamily C, member 5 gamma a
dre:393642	K18024 tyrosine-protein phosphatase non-receptor type 12/18/22 [EC:3.1.3.48] | (RefSeq) ptpn12, zgc:65856, zgc:77437; protein tyrosine phosphatase, non-receptor type 12
dre:792712	no KO assigned | (RefSeq) tpbgb, sc:d0323, sc:d0347, tpbg; trophoblast glycoprotein b
dre:58073	K02375 frizzled 5/8 | (RefSeq) fzd8a, fz5, fz8a, fzc, wu:fd02c05, zg05; frizzled class receptor 8a
dre:567355	K04300 super conserved receptor expressed in brain 3 | (RefSeq) gpr27; G protein-coupled receptor 27
dre:641502	K09596 signal peptide peptidase-like 2A [EC:3.4.23.-] | (RefSeq) zgc:123258
dre:100170823	no KO assigned | (RefSeq) zgc:194336
dre:751631	K11983 E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27] | (RefSeq) rnf182, zgc:153414; ring finger protein 182
dre:100000097	no KO assigned | (RefSeq) or129-1; odorant receptor, family H, subfamily 129, member 1
dre:641582	K12804 proline-serine-threonine phosphatase interacting protein 1 | (RefSeq) pstpip1b, zgc:123255; proline-serine-threonine phosphatase interacting protein 1b
dre:503756	no KO assigned | (RefSeq) gpm6bb, gpb6bb, zgc:110793; glycoprotein M6Bb
dre:394013	K09554 cell division cycle protein 37 | (RefSeq) cdc37, zgc:56210; cell division cycle 37 homolog (S. cerevisiae)
dre:432376	no KO assigned | (RefSeq) phtf2, zgc:92022; putative homeodomain transcription factor 2
dre:796410	K03663 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase [EC:2.4.1.152] | (RefSeq) fut9a, zgc:194168, zgc:194170; fucosyltransferase 9a
dre:327325	no KO assigned | (RefSeq) clec14a, wu:fi03a12, zgc:66439; C-type lectin domain family 14, member A
dre:333988	no KO assigned | (RefSeq) fbxl14a, fi25d04, ppaa, wu:fb34d05, wu:fi25d04; F-box and leucine-rich repeat protein 14a
dre:100137114	no KO assigned | (RefSeq) ftr50, zgc:173638; finTRIM family, member 50
dre:30310	no KO assigned | (RefSeq) tcf3a, e12, tcf3, zfe12, zgc:113926; transcription factor 3a
dre:100124620	no KO assigned | (RefSeq) zgc:171310
dre:415246	K17822 DCN1-like protein 1/2 | (RefSeq) dcun1d2b, dcun1d2, fj80d04, wu:fj80d04, zgc:86658; DCN1, defective in cullin neddylation 1, domain containing 2b
dre:100006880	no KO assigned | (RefSeq) zgc:173619
dre:100037341	K10903 HUS1 checkpoint protein | (RefSeq) zgc:162895
dre:553698	no KO assigned | (RefSeq) zgc:112271
dre:751709	no KO assigned | (RefSeq) zgc:153395
dre:406787	K15074 BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein | (RefSeq) kctd10, wu:fb30g12, zgc:63846; potassium channel tetramerization domain containing 10
dre:553605	K16779 Rab-3A-interacting protein | (RefSeq) rab3ip, zgc:110270; RAB3A interacting protein (rabin3)
dre:492481	K19604 retinitis pigmentosa 9 protein | (RefSeq) rp9, im:7137386, zgc:103448; retinitis pigmentosa 9 (autosomal dominant)
dre:678553	no KO assigned | (RefSeq) zgc:136683
dre:100149435	no KO assigned | (RefSeq) or125-3; odorant receptor, family E, subfamily 125, member 3
dre:100142653	K10267 F-box and WD-40 domain protein 12/13/14/15/16/17/19 | (RefSeq) zgc:171857; si:ch73-142c19.1
dre:393813	no KO assigned | (RefSeq) pdlim7, zgc:65907, zgc:85607; PDZ and LIM domain 7
dre:436685	no KO assigned | (RefSeq) zfyve19, zgc:92683; zinc finger, FYVE domain containing 19
dre:393216	K09537 DnaJ homolog subfamily C member 17 | (RefSeq) dnajc17, zgc:56091; DnaJ (Hsp40) homolog, subfamily C, member 17
dre:100150140	no KO assigned | (RefSeq) or125-2; odorant receptor, family E, subfamily 125, member 2
dre:777626	no KO assigned | (RefSeq) zgc:153012
dre:560887	K10645 E3 ubiquitin-protein ligase mind-bomb [EC:2.3.2.27] | (RefSeq) mib2; mindbomb E3 ubiquitin protein ligase 2
dre:100150823	no KO assigned | (RefSeq) or125-1; odorant receptor, family E, subfamily 125, member 1
dre:569098	K05039 solute carrier family 6 (neurotransmitter transporter, GABA) member 6/8/11/12/13 | (RefSeq) slc6a6b, slc6a6, tau, taut, wu:fc26e12; solute carrier family 6 (neurotransmitter transporter), member 6b
dre:564402	no KO assigned | (RefSeq) si:dkey-151g22.1
dre:553052	no KO assigned | (RefSeq) im:7145881; zgc:153845
dre:100150158	no KO assigned | (RefSeq) or124-1; odorant receptor, family E, subfamily 124, member 1
dre:335985	K12667 oligosaccharyltransferase complex subunit delta (ribophorin II) | (RefSeq) rpn2, fb95d11, fj62b10, wu:fb61f08, wu:fb74e07, wu:fb95d11, wu:fj41f11, wu:fj62b10; ribophorin II
dre:100136872	no KO assigned | (RefSeq) rbm15b, zgc:175165; RNA binding motif protein 15B
dre:405898	K05736 p21-activated kinase 7 [EC:2.7.11.1] | (RefSeq) pak7, zgc:76890; p21 protein (Cdc42/Rac)-activated kinase 7
dre:402998	K06822 plexin D | (RefSeq) plxnd1, zgc:77379; plexin D1
dre:565375	K04933 potassium voltage-gated channel delayed-rectifier subfamily S member 3 | (RefSeq) kcns3a, zgc:194841, zgc:194842; potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3a
dre:777612	K09049 cyclic AMP-dependent transcription factor ATF-6 beta | (RefSeq) atf6b, zgc:153914; activating transcription factor 6 beta
dre:571808	K04262 prostaglandin F receptor | (RefSeq) ptgfr, fp; prostaglandin F receptor (FP)
dre:566692	no KO assigned | (RefSeq) si:ch211-154a22.8
dre:100750260	K00962 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] | (RefSeq) pnpt1; polyribonucleotide nucleotidyltransferase 1
dre:449536	no KO assigned | (RefSeq) nitr6b, dZ150L22.4, dZ219H16.16, nitr6.11, nitr6.13, nitr6.2, nitr6.5, nitr6.7, nitr6b_1, si:busm1-150l22.4, si:busm1-263j20.2, si:dz150l22.4, si:dz219h16.16, si:dz263j20.2; novel immune-type receptor 6b
dre:541335	K11252 histone H2B | (RefSeq) zgc:114046
dre:100009658	no KO assigned | (RefSeq) mansc1, zgc:158374; MANSC domain containing 1
dre:553762	K01557 acylpyruvate hydrolase [EC:3.7.1.5] | (RefSeq) fahd1, wu:fj09c02, zgc:109929; fumarylacetoacetate hydrolase domain containing 1
dre:100033598	K16985 microRNA 26b | (RefSeq) mir26b, dre-mir-26b; microRNA 26b
dre:572032	no KO assigned | (RefSeq) fi40f05, sb:cb573, wu:fa20h06, wu:fi40f05; si:dkeyp-117h8.4
dre:100310779	no KO assigned | (RefSeq) mir196d, mir196b-1b, mirn196d; microRNA 196d
dre:100034639	K05051 trace amine associated receptor | (RefSeq) taar64, si:dkey-7c18.6; trace amine associated receptor 64
dre:561491	K04133 muscarinic acetylcholine receptor M5 | (RefSeq) chrm5b, chrm5, si:ch211-150c22.1, wu:fd11g11; cholinergic receptor, muscarinic 5b
dre:100034659	K05051 trace amine associated receptor | (RefSeq) taar12a, si:dkey-7c18.18; trace amine associated receptor 12a
dre:556424	no KO assigned | (RefSeq) rhoga, si:dkey-24p1.4; ras homolog family member Ga
dre:795139	K05051 trace amine associated receptor | (RefSeq) taar12j, si:dkey-7c18.23; trace amine associated receptor 12j
dre:100034381	K05051 trace amine associated receptor | (RefSeq) taar13e, si:dkey-7c18.7, ta66, taar66; trace amine associated receptor 13e
dre:791765	K08383 G protein-coupled receptor 34 | (RefSeq) gpr34b, zgc:110315; G protein-coupled receptor 34b
dre:100034375	no KO assigned | (RefSeq) si:dkey-27n6.1
dre:497317	no KO assigned | (RefSeq) marveld1, im:7136220; MARVEL domain containing 1
dre:563540	K14689 solute carrier family 30 (zinc transporter), member 2 | (RefSeq) slc30a2, si:ch211-243j20.1; solute carrier family 30 (zinc transporter), member 2
dre:81581	K06087 claudin | (RefSeq) cldnb, wu:fa66b05; claudin b
dre:100034645	K05051 trace amine associated receptor | (RefSeq) taar14l, si:dkey-246e3.2; trace amine associated receptor 14l
dre:562048	K09239 human immunodeficiency virus type I enhancer-binding protein | (RefSeq) hivep2a, hivep2, si:ch211-157m21.1; human immunodeficiency virus type I enhancer binding protein 2a
dre:794715	K05051 trace amine associated receptor | (RefSeq) taar1b, si:dkey-7c18.14; trace amine associated receptor 1b
dre:557915	K08811 testis-specific serine kinase [EC:2.7.11.1] | (RefSeq) tssk6, si:dkey-11n6.4; testis-specific serine kinase 6
dre:559375	no KO assigned | (RefSeq) zC108C6.2; si:ch211-108c6.2
dre:100034380	K05051 trace amine associated receptor | (RefSeq) taar13b, si:dkey-7c18.5; trace amine associated receptor 13b
dre:795486	K05051 trace amine associated receptor | (RefSeq) taar14f, si:ch211-119b12.3; trace amine associated receptor 14f
dre:798655	no KO assigned | (RefSeq) tmem264, si:dkey-236e20.7; transmembrane protein 264
dre:100535576	K17444 homrobox protein Hox-C10 | (RefSeq) hoxc10a, hoxc10, z-81; homeobox C10a
dre:556369	no KO assigned | (RefSeq) tmem200a, si:ch211-45m15.5; transmembrane protein 200A
dre:100147856	no KO assigned | (RefSeq) illr2; immune-related, lectin-like receptor 2
dre:100006693	no KO assigned | (RefSeq) si:dkey-122c11.1
dre:541505	K16764 centrosomal protein CEP68 | (RefSeq) cep68, si:ch211-101n13.4, si:zc101n13.4, zgc:112945; centrosomal protein 68
dre:100317933	no KO assigned | (RefSeq) ensab, si:dkey-30o16.6; endosulfine alpha b
dre:100034379	K05051 trace amine associated receptor | (RefSeq) taar13d, si:dkey-7c18.4; trace amine associated receptor 13d
dre:564873	K04449 transcription factor jun-D | (RefSeq) jund, si:dkey-251j8.3; jun D proto-oncogene
dre:100034531	no KO assigned | (RefSeq) si:ch211-222k6.1
dre:100034373	K05051 trace amine associated receptor | (RefSeq) taar14a, si:dkey-246e3.1; trace amine associated receptor 14a
dre:323481	no KO assigned | (RefSeq) bhlha9, bhlhf42, wu:fb99e06; basic helix-loop-helix family, member a9
dre:795068	K05051 trace amine associated receptor | (RefSeq) taar12h, si:dkey-7c18.22; trace amine associated receptor 12h
dre:100034599	K05051 trace amine associated receptor | (RefSeq) taar14h, si:dkey-246e3.3; trace amine associated receptor 14h
dre:796658	no KO assigned | (RefSeq) fa94f04, wu:fa94f04; si:dkey-169i5.4
dre:321166	no KO assigned | (RefSeq) apobb.1, apobb, apobl, cb235, hm:zeh1207, sb:cb235, si:ch211-219i10.1, wu:fb39c11, wu:fc51e12, zeh1207; apolipoprotein Bb, tandem duplicate 1
dre:100034601	K05051 trace amine associated receptor | (RefSeq) taar12c, si:dkey-7c18.16; trace amine associated receptor 12c
dre:569065	no KO assigned | (RefSeq) dlg5a, dlg5, wu:fc28f03; discs, large homolog 5a (Drosophila)
dre:793143	K06087 claudin | (RefSeq) si:dkey-98f17.3
dre:100537750	K09410 forkhead box protein Q | (RefSeq) foxq1a, foxq1l, zgc:162905; forkhead box Q1a
dre:100034600	K05051 trace amine associated receptor | (RefSeq) taar12e, si:dkey-7c18.21; trace amine associated receptor 12e
dre:557280	no KO assigned | (RefSeq) kcnf1a, kcnf1, si:dkey-65b13.5; potassium voltage-gated channel, subfamily F, member 1a
dre:571323	no KO assigned | (RefSeq) foxg1c, si:ch211-202c21.4; forkhead box G1c
dre:794359	K05051 trace amine associated receptor | (RefSeq) taar10a, si:dkey-7c18.9; trace amine-associated receptor 10a
dre:569409	no KO assigned | (RefSeq) cx50.5, si:dkey-18p12.7; connexin 50.5
dre:563777	K11886 proteasome component ECM29 | (RefSeq) KIAA0368 ortholog
dre:100034646	K05051 trace amine associated receptor | (RefSeq) taar12b, si:dkey-7c18.17, taar69; trace amine associated receptor 12b
dre:559074	no KO assigned | (RefSeq) lingo4b, zgc:198379; leucine rich repeat and Ig domain containing 4b
dre:571908	no KO assigned | (RefSeq) tmem176, si:dkey-9i23.13; transmembrane protein 176
dre:100034374	K05051 trace amine associated receptor | (RefSeq) taar14i, si:dkey-246e3.4, taar68; trace amine associated receptor 14i
dre:100415799	no KO assigned | (RefSeq) ugt5b2; UDP glucuronosyltransferase 5 family, polypeptide B2
dre:795317	K05051 trace amine associated receptor | (RefSeq) taar14d, si:ch211-119b12.4, taar70; trace amine associated receptor 14d
dre:794647	K05051 trace amine associated receptor | (RefSeq) taar11, si:dkey-7c18.13, taar1a; trace amine-associated receptor 11
dre:100034516	K05051 trace amine associated receptor | (RefSeq) taar14j, si:dkey-246e3.5; trace amine associated receptor 14j
dre:324173	no KO assigned | (RefSeq) wu:fc21a11; si:dkey-14k9.3
dre:558044	K06115 spectrin beta | (RefSeq) spectrin, beta, non-erythrocytic 1
dre:795424	K05051 trace amine associated receptor | (RefSeq) taar14g, si:ch211-119b12.2; trace amine associated receptor 14g
dre:794512	K05051 trace amine associated receptor | (RefSeq) taar10d, si:dkey-7c18.11; trace amine-associated receptor 10d
dre:794997	K05051 trace amine associated receptor | (RefSeq) taar12g, si:dkey-7c18.20; trace amine associated receptor 12g
dre:792119	K05051 trace amine associated receptor | (RefSeq) taar14b, si:ch211-119b12.5; trace amine associated receptor 14b
dre:100034543	K05051 trace amine associated receptor | (RefSeq) taar12i, si:dkey-7c18.15; trace amine associated receptor 12i
dre:100006266	no KO assigned | (RefSeq) si:dkeyp-53d3.6
dre:792757	no KO assigned | (RefSeq) si:ch211-168h21.3
dre:654774	K17697 dedicator of cytokinesis protein 4 | (RefSeq) dock4b, sb:eu488, si:ch211-284e3.1; dedicator of cytokinesis 4b
dre:794579	K05051 trace amine associated receptor | (RefSeq) taar10b, si:dkey-7c18.12; trace amine-associated receptor 10b
dre:569167	no KO assigned | (RefSeq) pkhd-l2; si:ch211-244a23.1
dre:795031	no KO assigned | (RefSeq) znfl1; si:dkey-103d23.5
dre:100002285	K05840 dopamine receptor D5 | (RefSeq) drd7, si:dkeyp-38h2.2; dopamine receptor D7
dre:100271844	K16976 microRNA 375 | (RefSeq) mir375-1, mirn375-1; microRNA 375-1
dre:100033503	no KO assigned | (RefSeq) mir430b-3, dre-mir-430b-3; microRNA 430b-3
dre:100033487	no KO assigned | (RefSeq) mir430a-12, dre-mir-430a-12; microRNA 430a-12
dre:100033797	no KO assigned | (RefSeq) mir430c-6, dre-mir-430c-6; microRNA 430c-6
dre:100033793	no KO assigned | (RefSeq) mir430c-2, dre-mir-430c-2; microRNA 430c-2
dre:100033575	no KO assigned | (RefSeq) mir18c, dre-mir-18c; microRNA 18c
dre:100033471	no KO assigned | (RefSeq) mir430c-16, dre-mir-430c-16; microRNA 430c-16
dre:100033656	K17144 microRNA 135 | (RefSeq) mir135c-1, dre-mir-135c-1; microRNA 135c-1
dre:100033499	no KO assigned | (RefSeq) mir430i-1, dre-mir-430i-1; microRNA 430i-1
dre:100033721	K17177 microRNA 184 | (RefSeq) mir184-2, dre-mir-184-2; microRNA 184-2
dre:100033794	no KO assigned | (RefSeq) mir430c-3, dre-mir-430c-3; microRNA 430c-3
dre:100033696	K16975 microRNA 203 | (RefSeq) mir203b, dre-mir-203b; microRNA 203b
dre:100216526	no KO assigned | (RefSeq) mir27e, mirn27e; microRNA 27e
dre:100033483	no KO assigned | (RefSeq) mir430a-8, dre-mir-430a-8; microRNA 430a-8
dre:100033553	K16977 microRNA 9 | (RefSeq) mir9-1, dre-mir-9-1; microRNA 9-1
dre:100033492	no KO assigned | (RefSeq) mir430a-17, dre-mir-430a-17; microRNA 430a-17
dre:100033738	no KO assigned | (RefSeq) mir727, dre-mir-727; microRNA 727
dre:100033774	no KO assigned | (RefSeq) mir190b, dre-mir-190b; microRNA 190b
dre:100033507	no KO assigned | (RefSeq) mir430b-8, dre-mir-430b-8; microRNA 430b-8
dre:100033789	K16976 microRNA 375 | (RefSeq) mir375-2, dre-mir-375-2; microRNA 375-2
dre:100216528	K17128 microRNA 24 | (RefSeq) mir24-4, mirn24-4; microRNA 24-4
dre:100190950	K17145 microRNA 140 | (RefSeq) mir140, mirn140; microRNA 140
dre:100033762	K17014 microRNA 182 | (RefSeq) mir182, dre-mir-182; microRNA 182
dre:100033518	no KO assigned | (RefSeq) mir430b-5, dre-mir-430b-5; microRNA 430b-5
dre:100033574	K17004 microRNA 18b | (RefSeq) mir18b, dre-mir-18b; microRNA 18b
dre:100033657	K17144 microRNA 135 | (RefSeq) mir135c-2, dre-mir-135c-2; microRNA 135c-2
